baths,beds,addressZipcode,addressCity,detailUrl,area,price,property_age
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/2534-NE-Mulberry-Walk-Issaquah-WA-98029/121801441_zpid/,1210.0,778600.0,32
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/3636-255th-Ln-SE-APT-42-Issaquah-WA-98029/48674670_zpid/,1194.0,569900.0,33
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/1408-7th-Ave-NE-92-Issaquah-WA-98029/342978167_zpid/,1515.0,960400.0,32
1.0,1.0,98029,Sammamish,https://www.zillow.com/homedetails/4149-220th-Pl-SE-1052-Sammamish-WA-98029/48736739_zpid/,830.0,338800.0,41
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/2026-NE-Katsura-St-Issaquah-WA-98029/62944404_zpid/,1650.0,1144300.0,39
4.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/1875-10th-Ave-NE-Issaquah-WA-98029/72499812_zpid/,2630.0,1709200.0,35
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/358-NE-Denny-Way-Issaquah-WA-98029/96712505_zpid/,2150.0,1324400.0,43
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/1408-7th-Ave-NE-Issaquah-WA-98029/452706502_zpid/,1515.0,935900.0,42
2.25,3.0,98029,Sammamish,https://www.zillow.com/homedetails/4468-248th-Ln-SE-B446-Issaquah-WA-98029/49057131_zpid/,1445.0,707200.0,35
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/4468-248th-Ln-SE-Issaquah-WA-98029/2140090550_zpid/,1445.0,750400.0,30
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/22496-SE-37th-Ter-1381-Issaquah-WA-98029/48859712_zpid/,1411.0,589800.0,36
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/4196-248th-Ct-SE-62-Issaquah-WA-98029/49059243_zpid/,1484.0,749700.0,38
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/22752-SE-43rd-Ct-1623-Issaquah-WA-98029/58383706_zpid/,1417.0,574100.0,34
2.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/2412-NE-Park-Dr-Issaquah-WA-98029/67683176_zpid/,1540.0,849700.0,32
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/22752-SE-43rd-Ct-Issaquah-WA-98029/2068230201_zpid/,1413.0,478500.0,38
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/25013-SE-42nd-Dr-Issaquah-WA-98029/48905140_zpid/,1870.0,1076400.0,41
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/3623-224th-Pl-SE-1360-Issaquah-WA-98029/48819985_zpid/,1262.0,503200.0,37
3.0,3.0,98029,Sammamish,https://www.zillow.com/homedetails/23121-SE-49th-Ct-Issaquah-WA-98029/450087833_zpid/,3010.0,2042700.0,37
3.0,4.0,98029,Sammamish,https://www.zillow.com/homedetails/23155-SE-49th-Ct-Issaquah-WA-98029/455065976_zpid/,3074.0,2042700.0,44
1.0,1.0,98029,Sammamish,https://www.zillow.com/homedetails/22002-SE-40th-Ln-1111-Sammamish-WA-98029/48960302_zpid/,830.0,348700.0,32
2.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/22535-SE-Highland-Cir-APT-106-Issaquah-WA-98029/58384693_zpid/,1474.0,498200.0,45
3.0,4.0,98029,Sammamish,https://www.zillow.com/homedetails/2492-NE-Ivy-Way-Issaquah-WA-98029/61679150_zpid/,1440.0,1110000.0,38
3.0,2.0,98029,Sammamish,https://www.zillow.com/homedetails/1443-NE-Park-Dr-Issaquah-WA-98029/112898042_zpid/,1460.0,861800.0,43
4.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/16915-SE-39th-St-Bellevue-WA-98008/49107868_zpid/,2700.0,1936000.0,32
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16720-NE-23rd-Pl-Bellevue-WA-98008/48662933_zpid/,1430.0,1269200.0,39
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16411-SE-8th-St-Bellevue-WA-98008/48912844_zpid/,1400.0,3356400.0,45
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16219-Northup-Way-APT-C204-Bellevue-WA-98008/49070649_zpid/,1652.0,704200.0,44
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16504-SE-28th-St-Bellevue-WA-98008/48908737_zpid/,2570.0,1932900.0,30
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/503-167th-Ave-NE-Bellevue-WA-98008/48913905_zpid/,2140.0,1412200.0,36
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/1640-184th-Ave-NE-Bellevue-WA-98008/49088865_zpid/,2049.0,1684700.0,39
1.0,2.0,98008,Sammamish,https://www.zillow.com/homedetails/3049-164th-Pl-NE-Bellevue-WA-98008/48798381_zpid/,1190.0,1455500.0,45
1.75,3.0,98008,Sammamish,https://www.zillow.com/homedetails/1650-168th-Ave-NE-Bellevue-WA-98008/48858579_zpid/,1350.0,1327200.0,33
4.0,6.0,98008,Sammamish,https://www.zillow.com/homedetails/16257-Main-St-Bellevue-WA-98008/48913365_zpid/,2070.0,1295900.0,33
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/1035-159th-Pl-SE-Bellevue-WA-98008/48912577_zpid/,4440.0,2934500.0,45
3.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/620-167th-Ave-NE-Bellevue-WA-98008/48913918_zpid/,3148.0,1616000.0,35
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16220-SE-31st-St-Bellevue-WA-98008/49068866_zpid/,1560.0,1275000.0,39
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/15899-Northup-Way-54-Bellevue-WA-98008/48816237_zpid/,1599.0,933800.0,42
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/16407-SE-23rd-St-Bellevue-WA-98008/49005745_zpid/,2420.0,1635000.0,30
3.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/1807-184th-Ave-NE-Bellevue-WA-98008/49088836_zpid/,2820.0,1983900.0,32
1.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/2104-166th-Pl-NE-Bellevue-WA-98008/48663044_zpid/,1250.0,1308700.0,37
1.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/935-168th-Ave-NE-Bellevue-WA-98008/48858387_zpid/,990.0,1284900.0,36
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/16004-NE-6th-St-Bellevue-WA-98008/48861023_zpid/,2760.0,1928000.0,30
2.0,2.0,98008,Sammamish,https://www.zillow.com/homedetails/1700-159th-Pl-NE-43-Bellevue-WA-98008/48880891_zpid/,1396.0,789200.0,43
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/16712-SE-31st-St-Bellevue-WA-98008/48931517_zpid/,2360.0,1619800.0,45
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/16636-SE-26th-Pl-Bellevue-WA-98008/49068778_zpid/,1330.0,1286500.0,42
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/17905-NE-19th-Pl-Bellevue-WA-98008/49088718_zpid/,2420.0,1896400.0,42
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/906-164th-Ave-NE-Bellevue-WA-98008/48807143_zpid/,1510.0,1273900.0,30
2.25,4.0,98008,Sammamish,https://www.zillow.com/homedetails/16802-NE-6th-Pl-Bellevue-WA-98008/48914010_zpid/,1520.0,1440800.0,32
4.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/1402-W-Lake-Sammamish-Pkwy-SE-Bellevue-WA-98008/49120877_zpid/,3560.0,4738600.0,39
3.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/3650-NE-Bellevue-Redmond-Rd-Bellevue-WA-98008/48798372_zpid/,3600.0,1824000.0,43
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/Bellevue-WA-98008/48913302_zpid/,2100.0,1412000.0,31
1.75,3.0,98008,Sammamish,https://www.zillow.com/homedetails/15821-SE-3rd-St-Bellevue-WA-98008/48914565_zpid/,1550.0,1197900.0,41
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/1212-169th-Pl-NE-Bellevue-WA-98008/48915088_zpid/,1250.0,1262000.0,35
2.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/16415-NE-30th-St-Bellevue-WA-98008/48938158_zpid/,1300.0,1294500.0,42
3.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/3650-Bel-Red-Rd-Bellevue-WA-98008/2068173862_zpid/,3650.0,1821300.0,43
4.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/3215-165th-Pl-NE-Bellevue-WA-98008/48664222_zpid/,3355.0,1832900.0,35
4.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/2228-W-Lake-Sammamish-Pkwy-SE-Bellevue-WA-98008/49120943_zpid/,3440.0,3774200.0,34
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/15604-SE-26th-St-Bellevue-WA-98008/49005552_zpid/,1380.0,1177900.0,30
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/16236-NE-28th-St-Bellevue-WA-98008/49035154_zpid/,4455.0,3200200.0,42
2.5,5.0,98008,Sammamish,https://www.zillow.com/homedetails/16544-SE-30th-St-Bellevue-WA-98008/48908787_zpid/,1820.0,1079500.0,35
2.5,2.0,98008,Sammamish,https://www.zillow.com/homedetails/15701-NE-14th-St-Bellevue-WA-98008/305488610_zpid/,1805.0,1209200.0,43
3.0,2.0,98008,Sammamish,https://www.zillow.com/homedetails/15701-NE-14th-Ter-27-Bellevue-WA-98008/447688466_zpid/,1805.0,1209200.0,37
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/2725-165th-Ave-NE-Bellevue-WA-98008/48662793_zpid/,1250.0,1274500.0,31
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/17103-SE-41st-St-Bellevue-WA-98008/48815597_zpid/,2850.0,1249600.0,43
5.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/1429-166th-Pl-NE-Bellevue-WA-98008/48886481_zpid/,4302.0,3197900.0,31
